z_sga_grupo_programa_id;cod_grupo;nome_grupo;gestor;cod_programa;idGrupo;idPrograma;
283;act;;super;accm014;74;accm0142;1
284;sup;;super;accm014;2;accm0142;1
285;act;;super;accm015;74;accm0152;1
286;sup;;super;accm015;2;accm0152;1
287;act;;super;accm016;74;accm0162;1
288;sup;;super;accm016;2;accm0162;1
289;act;;super;accm017;74;accm0172;1
290;sup;;super;accm017;2;accm0172;1
291;act;;super;accm018;74;accm0182;1
292;sup;;super;accm018;2;accm0182;1
293;act;;super;accm019;74;accm0192;1
294;sup;;super;accm019;2;accm0192;1
295;act;;super;accm020;74;accm0202;1
296;sup;;super;accm020;2;accm0202;1
297;act;;super;accm021;74;accm0212;1
298;sup;;super;accm021;2;accm0212;1
299;act;;super;accm022;74;accm0222;1
300;sup;;super;accm022;2;accm0222;1
301;act;;super;accm023;74;accm0232;1
302;sup;;super;accm023;2;accm0232;1
303;act;;super;accm025;74;accm0252;1
304;sup;;super;accm025;2;accm0252;1
305;act;;super;accm028;74;accm0282;1
306;sup;;super;accm028;2;accm0282;1
307;act;;super;accm502;74;accm5022;1
308;sup;;super;accm502;2;accm5022;1
309;act;;super;accm503;74;accm5032;1
310;sup;;super;accm503;2;accm5032;1
311;act;;super;acgm029;74;acgm0292;1
312;sup;;super;acgm029;2;acgm0292;1
313;sup;;super;acr.CRUDCtaGrpClien;2;acr.CRUDCtaGrpClien2;1
314;CR0;;super;acr.CRUDCxFinanc;248;acr.CRUDCxFinanc2;1
315;sup;;super;acr.CRUDCxFinanc;2;acr.CRUDCxFinanc2;1
316;sup;;super;acr.CRUDParamControlCx;2;acr.CRUDParamControlCx2;1
317;sup;;super;acr.CRUDParamEstabAcr;2;acr.CRUDParamEstabAcr2;1
318;sup;;super;acr.CRUDParamTef;2;acr.CRUDParamTef2;1
319;sup;;super;acr.CRUDPermUsuarCx;2;acr.CRUDPermUsuarCx2;1
320;sup;;super;acr.CRUDRegraPagtoCx;2;acr.CRUDRegraPagtoCx2;1
321;sup;;super;acr.CRUDUsuarFinancEstabAcr;2;acr.CRUDUsuarFinancEstabAcr2;1
322;Con;;super;ACR.InquireCustDocsPortlet;66;ACR.InquireCustDocsPortlet2;1
323;FCU;;super;ACR.InquireCustDocsPortlet;4;ACR.InquireCustDocsPortlet2;1
